id;youtube_url;artist;title;year
66;https://music.youtube.com/watch?v=xFrGuyw1V8s;ABBA;Dancing Queen;1976
67;https://music.youtube.com/watch?v=HrxX9TBj2zY;Pink Floyd;Another Brick In The Wall, Part Two;2020
68;https://music.youtube.com/watch?v=8wxVTIB6qE4;Stef Bos;Papa;1990
69;https://music.youtube.com/watch?v=A_MjCqQoLLA;The Beatles;Hey Jude;2000
70;https://music.youtube.com/watch?v=ZNR85NbnH0U;Liesbeth List & Ramses Shaffy;Pastorale;1968
71;https://music.youtube.com/watch?v=_Jtpf8N5IDE;Queen;Who Wants To Live Forever;1991
72;https://music.youtube.com/watch?v=iv8GW1GaoIc;The Doors;Riders On The Storm;1971
73;https://music.youtube.com/watch?v=FDlDKvidYbk;The Alan Parsons Project;Old and Wise;1982
74;https://music.youtube.com/watch?v=U_O1QKQCsGs;The Beatles;Here comes the Sun.;1969
75;https://music.youtube.com/watch?v=GLvohMXgcBo;Red Hot Chili Peppers;Under The Bridge;1991
76;https://music.youtube.com/watch?v=5703Rrk1wr4;Unknown Artist;Deleted video;2020
77;https://music.youtube.com/watch?v=d020hcWA_Wg;Coldplay;Clocks;2002
78;https://music.youtube.com/watch?v=bAOwDZoWXRI;AC/DC;Whole Lotta Rosie;1977
79;https://music.youtube.com/watch?v=4G-YQA_bsOU;Simon & Garfunkel;Bridge Over Troubled Water;1970
80;https://music.youtube.com/watch?v=XFkzRNyygfk;Radiohead;Creep;1993
81;https://music.youtube.com/watch?v=3FIqWS6Uosc;Normaal;deurdonderen;1982
82;https://music.youtube.com/watch?v=xnKhsTXoKCI;Metallica;Master Of Puppets;1986
83;https://music.youtube.com/watch?v=ELKbtFljucQ;Paolo Nutini;Iron Sky;2014
84;https://music.youtube.com/watch?v=P9K27HvhDxA;Dire Straits;Private Investigations;1982
85;https://music.youtube.com/watch?v=7Y_wUu99E7M;Normaal;Oerend hard;2008
86;https://music.youtube.com/watch?v=luwAMFcc2f8;Robbie Williams;Angels;1997
87;https://music.youtube.com/watch?v=RcZn2-bGXqQ;The Rolling Stones;Angie - OFFICIAL PROMO (Version 1);2020
88;https://music.youtube.com/watch?v=JxPj3GAYYZ0;Eric Clapton;Tears In Heaven;1992
89;https://music.youtube.com/watch?v=iYYRH4apXDo;David Bowie;Space Oddity;1969
90;https://music.youtube.com/watch?v=fyTvY_7ws30;Ramses Shaffy;Laat me;1978
91;https://music.youtube.com/watch?v=NrgmdOz227I;The Beatles;Yesterday (Remastered 2009);1965
92;https://music.youtube.com/watch?v=rTVjnBo96Ug;RHINO;Otis Redding -;2020
93;https://music.youtube.com/watch?v=_Yhyp-_hX2s;Eminem;Lose Yourself;2004
94;https://music.youtube.com/watch?v=7azASBMAkOU;Marco Borsato;Dochters;2008
95;https://music.youtube.com/watch?v=Ixrje2rXLMA;Dolly Parton;Jolene;1974
96;https://music.youtube.com/watch?v=f4zQWBBGUYI;U2;Where The Streets Have No Name (Remastered);1987
97;https://music.youtube.com/watch?v=RbmS3tQJ7Os;The Rolling Stones;Gimme Shelter;1969
98;https://music.youtube.com/watch?v=Qjzjhl-QztE;Billy Joel;Goodnight Saigon;2025
99;https://music.youtube.com/watch?v=GemKqzILV4w;Snow Patrol;Chasing Cars;2006
100;https://music.youtube.com/watch?v=0Fy7opKu46c;Unknown Artist;Deleted video;2020
101;https://music.youtube.com/watch?v=Man4Xw8Xypo;The Beatles;Blackbird (Remastered 2009);1968
102;https://music.youtube.com/watch?v=I5XuLLbQ03E;Van Dik Hout;Stil In Mij (Video Version);2020
103;https://music.youtube.com/watch?v=cBMXQrW3VNA;This Is Queen;Killer Queen (Remastered 2011);2020
104;https://music.youtube.com/watch?v=3O0D6MvWFf4;Queen;The Show Must Go On (Remastered 2011);1991
105;https://music.youtube.com/watch?v=dZkbhA1NcTM;Acda en de Munnik;Het Regent Zonnestralen;1998
106;https://music.youtube.com/watch?v=1lyu1KKwC74;The Verve;Bitter Sweet Symphony;1997
107;https://music.youtube.com/watch?v=w8KQmps-Sog;Muse;Uprising;2009
108;https://music.youtube.com/watch?v=RxOBOhRECoo;Elvis Presley;Suspicious Minds;1969
109;https://music.youtube.com/watch?v=xwtdhWltSIg;R.E.M.;Losing My Religion;1991
110;https://music.youtube.com/watch?v=C7kYuT8ds2w;André Hazes;Kleine Jongen;1990
111;https://music.youtube.com/watch?v=7vhhTvcLoRw;Simple Minds;Belfast Child;1989
112;https://music.youtube.com/watch?v=CX9xtYXJO0U;Frank Boeijen;Zeg me dat het niet zo is;1989
113;https://music.youtube.com/watch?v=SBjQ9tuuTJQ;Foo Fighters;The Pretender;2007
114;https://music.youtube.com/watch?v=G_sBOsh-vyI;Muse;Knights Of Cydonia  (Video);2020
115;https://music.youtube.com/watch?v=E9-2sBo1T5s;Golden Earring;When The Lady Smiles (Video);2020
116;https://music.youtube.com/watch?v=GWOIDN-akrY;Volbeat;Lola Montez;2013
117;https://music.youtube.com/watch?v=bx1Bh8ZvH84;Oasis;Wonderwall;2025
118;https://music.youtube.com/watch?v=e3-5YC_oHjE;U2;I Still Haven't Found What I'm Looking For;1987
119;https://music.youtube.com/watch?v=1k8craCGpgs;Journey;Don't Stop Believin';1981
120;https://music.youtube.com/watch?v=6Ejga4kJUts;The Cranberries;Zombie;1994
121;https://music.youtube.com/watch?v=YrLk4vdY28Q;Leonard Cohen;Hallelujah;1984
122;https://music.youtube.com/watch?v=3RaHTDNude4;Anouk;Nobody's Wife;1997
123;https://music.youtube.com/watch?v=hLQl3WQQoQ0;Adele;Someone Like You;2011
