id;youtube_url;artist;title;year
70;https://music.youtube.com/watch?v=e8nQPeR5hac;Jet;Shine On (VIDEO) album edit audio version;2012
71;https://music.youtube.com/watch?v=IDZqmF3zS04;Unknown Artist;Private video;2012
72;https://music.youtube.com/watch?v=9se36URAe4E;James Blunt;I'll Take Everything (Video);2012
73;https://music.youtube.com/watch?v=COsVgbAJ8B8;Jimi Hendrix;Bleeding Heart (Video);2012
74;https://music.youtube.com/watch?v=slldMEPvUqA;The Whispers;And the Beat Goes On;1979
75;https://music.youtube.com/watch?v=Uy8N0PGvq8A;The Stroke;Billy Squier;2012
76;https://music.youtube.com/watch?v=dbB-mICjkQM;Muse;Plug In Baby;2001
77;https://music.youtube.com/watch?v=w8KQmps-Sog;Muse;Uprising;2009
78;https://music.youtube.com/watch?v=wDZFf0pm0SE;sante3d;Stevie Wonder ~ Superstition;2012
79;https://music.youtube.com/watch?v=npQbPpDF6hA;Black Dog;Led Zeppelin;2012
80;https://music.youtube.com/watch?v=yRhq-yO1KN8;John Lennon;Imagine;1971
81;https://music.youtube.com/watch?v=oMFYs3gfgis;NEDEERC;~THIN LIZZY~ JAILBREAK;2012
82;https://music.youtube.com/watch?v=fqGRNbK8bps;Architecture in Helsinki;Escapee Music Video;2012
83;https://music.youtube.com/watch?v=pcawnRIyeok;Fleetwood Mac;The Chain;1977
84;https://music.youtube.com/watch?v=FQ2yXWi0ppw;R.E.M.;Losing My Religion *in the description box*;2012
85;https://music.youtube.com/watch?v=__VQX2Xn7tI;carpenters;We've Only Just Begun;1970
86;https://music.youtube.com/watch?v=WM7-PYtXtJM;Fleetwood Mac;Landslide;1975
87;https://music.youtube.com/watch?v=qNM6IuA87eM;Fleetwood Mac;Go Your Own Way - Dance Tour '97;2012
88;https://music.youtube.com/watch?v=o8ybDbcrWVM;Catch the Wind;Donovan;2012
89;https://music.youtube.com/watch?v=3SluRyO4EA4;Def Leppard;Hysteria;1987
90;https://music.youtube.com/watch?v=d2sPvjlTdHo;Johnny Cash;1974 - Folsom Prison Blues.;2012
91;https://music.youtube.com/watch?v=djV11Xbc914;a-ha;Take On Me;2002
92;https://music.youtube.com/watch?v=cjVQ36NhbMk;The Fray;How to Save a Life;2005
